,OPEID6L,INSTNM,CITY,STABBR,ZIP,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG_ALL,HIGHDEG,HBCU,PBI,HSI,NANTI,CCUGPROF,CCSIZSET,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,COSTT4_A,AVGFACSAL,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,FEMALE,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,GT_THRESHOLD_P10,CONTROL,Number of Unique Majors Offered (Bachelors,Co-Ed
1462,2171.0,Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399,0.0,0.0,,,2,0.0,0.0,0.0,0.0,1.0,3.0,0.4628,0.1542,0.2542,0.0469,14058.0,7786.0,,,,,,0.5455120101,44900,42600,47600,0.6972,"Private, for-profit",6.0,True
1463,2165.0,MCPHS University,Boston,MA,02115-5896,0.0,0.0,0.9112,1096.0,4,0.0,0.0,0.0,0.0,13.0,13.0,0.3532,0.1084,0.0899,0.1894,54955.0,10249.0,0.7031,0.7202,0.617,0.6852,0.7318,0.7708222812,106500,102600,115500,0.9314,Foreign,1.0,True
1464,2180.0,Massachusetts College of Art and Design,Boston,MA,02115-5882,0.0,0.0,0.7027,,4,0.0,0.0,0.0,0.0,13.0,11.0,0.5586,0.0448,0.1232,0.0754,29569.0,10058.0,0.7409,0.7195,0.6667,0.7931,0.7568,0.7187039764,40700,39700,42300,0.7193,"Private, nonprofit",6.0,True
1465,2178.0,Massachusetts Institute of Technology,Cambridge,MA,02139-4307,0.0,0.0,0.0726,1550.0,4,0.0,0.0,0.0,0.0,14.0,17.0,0.2562,0.067,0.1557,0.3236,73160.0,19640.0,0.9558,0.9793,0.9,0.9262,0.9659,0.3718887262,153600,118900,177100,0.9262,"Private, for-profit",2.0,True
1466,2181.0,Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,0.0,0.0,0.9248,1117.0,4,0.0,0.0,0.0,0.0,12.0,11.0,0.8269,0.0104,0.0403,0.0124,28602.0,8632.0,0.8469,0.8525,0.6667,0.6,1.0,0.1281690141,96000,PrivacySuppressed,PrivacySuppressed,0.9153,"Private, nonprofit",1.0,True
1467,9756.0,University of Massachusetts Medical School Worcester,Worcester,MA,01655,0.0,0.0,,,4,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,10559.0,,,,,,PrivacySuppressed,198100,PrivacySuppressed,PrivacySuppressed,,,,True
1468,21636.0,William James College,Newton,MA,02459,0.0,0.0,,,4,0.0,0.0,0.0,0.0,5.0,6.0,0.2333,0.4,0.1333,0.0,,8967.0,,,,,,PrivacySuppressed,,,,,,,True
1469,20921.0,Massachusetts School of Barbering,Quincy,MA,02169,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.6724,0.0862,0.1552,0.0,,,,,,,,0.2826086957,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,True
1470,2177.0,Massasoit Community College,Brockton,MA,02302-3996,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,3.0,0.5001,0.3003,0.0896,0.0192,13308.0,7055.0,,,,,,0.5715976331,38800,35500,44000,0.6126,Foreign,1.0,True
1471,2120.0,Merrimack College,North Andover,MA,01845,0.0,0.0,0.8164,,4,0.0,0.0,0.0,0.0,10.0,14.0,0.7822,0.0382,0.0779,0.0205,59617.0,8599.0,0.7354,0.7725,0.4815,0.52,0.6364,0.5302297461,62200,55900,69200,0.8714,"Private, nonprofit",9.0,True
1472,22316.0,MGH Institute of Health Professions,Boston,MA,02129-4557,0.0,0.0,,,4,0.0,0.0,0.0,0.0,0.0,9.0,0.7195,0.0671,0.0488,0.122,,9240.0,,,,,,0.8689956332,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8148,,,True
1473,9936.0,Middlesex Community College,Bedford,MA,01730-9124,0.0,0.0,,,2,0.0,0.0,0.0,0.0,1.0,3.0,0.5276,0.096,0.195,0.1262,10354.0,7507.0,,,,,,0.5988849765,39200,36400,44000,0.6437,,,True
1474,20630.0,Montserrat College of Art,Beverly,MA,01915-4508,0.0,0.0,,,3,0.0,0.0,0.0,0.0,10.0,8.0,0.4802,0.0311,0.1243,0.0282,52124.0,6621.0,0.6436,0.6136,0.5,0.7273,1.0,0.7248677249,28800,25300,35000,0.64,,,True
